10 -56
-21 -36
96 37
-10 -66
72 97
-56 -96
88 -34
0 64
47 -37
22 60
-82 -78
-93 -88
-46 43
-9 82
-46 -21
-3 52
68 23
39 -43
-76 8
-12 73
91 -98
3 73
-4 -45
-87 87
87 18
-39 59
-27 84
-95 31
-15 -63
14 50
-56 -89
85 -23
-14 46
-22 50
-16 32
-54 -45
25 66
-70 60
-84 -19
-42 -34
78 -43
10 15
89 -52
-19 -88
39 -72
9 -55
72 -10
-35 68
65 66
-53 -86
12 -63
-98 0
-99 74
57 39
57 22
-75 25
-15 -41
16 -45
23 -34
-87 3
95 -56
93 7
19 49
-67 -26
61 69
-68 -41
70 -46
96 4
-55 36
-38 -54
8 -48
23 -41
-9 -94
27 -18
-79 -31
-60 1
28 57
-50 8
36 -87
83 84
6 82
-53 -43
12 29
-72 39
28 -54
-32 23
-87 20
-21 -75
11 -89
11 -50
-34 68
-4 27
46 36
65 0
20 -57
87 85
14 54
99 80
-64 54
70 31
