9 1287 6
57 55 44 35 24 3
57 55 50 35 24 3
57 56 42 35 24 3
57 56 43 35 24 3
57 56 44 35 24 3
57 56 45 35 24 3
57 56 48 35 24 3
57 56 49 35 24 3
57 56 50 35 24 3
57 56 51 35 24 3
60 56 39 35 24 3
60 57 56 35 24 3
61 56 39 35 24 3
61 57 56 35 24 3
62 55 39 35 24 3
62 56 39 35 24 3
62 57 55 35 24 3
62 57 56 35 24 3
63 56 35 20 6 0
63 56 35 20 7 6
63 56 35 21 20 0
63 56 35 22 20 0
63 56 35 24 3 0
63 56 35 24 4 0
63 56 35 24 5 0
63 56 35 24 6 0
63 56 35 24 7 3
63 56 35 24 7 4
63 56 35 24 7 5
63 56 35 24 7 6
63 56 35 24 12 0
63 56 35 24 13 0
63 56 35 24 14 0
63 56 35 24 15 0
63 56 35 24 17 0
63 56 35 24 18 0
63 56 35 24 21 0
63 56 35 24 22 0
63 56 39 35 24 3
63 57 56 35 24 3
