100
60 9
96 -98
-38 -54
-16 -46
14 -30
-1 27
-49 6
39 55
84 77
-39 14
98 -6
9 -4
72 -61
-12 19
-5 -89
54 -71
-73 94
0 95
52 -96
-71 98
-55 -90
66 73
-18 34
22 -71
49 43
-86 -75
66 -71
9 -14
-80 79
-81 48
2 -7
97 69
-60 -22
99 -43
77 54
58 -95
86 -84
89 25
-80 -99
10 -72
-26 58
28 -51
-39 12
75 80
-32 -91
-26 -73
-86 53
49 68
63 -20
-20 -73
14 -14
3 -63
41 80
-99 -79
32 -10
-47 -87
-83 56
-81 69
15 -51
-87 59
5 46
-91 -51
-94 20
-95 94
-16 -74
-67 -38
43 67
70 -94
93 98
52 -66
44 -47
95 86
35 48
75 -75
-68 -8
-35 -78
1 39
-78 -91
4 -16
-67 38
-59 58
-46 -46
11 -41
-2 -24
35 -79
-79 -75
-86 0
71 95
90 47
-9 76
-74 54
43 68
-73 -98
87 62
-43 -49
48 57
-65 -82
7 -29
82 38
78 -61
