5 9 11 5 5 
5 9 11 5 5 
5 9 9 5 5 
5 9 5 9 5 
5 9 5 5 11 
5 9 5 5 11 
5 9 5 5 9 
5 9 5 11 5 
5 9 5 11 5 
5 9 5 9 5 
5 11 11 5 5 
5 11 11 5 5 
5 11 9 5 5 
5 11 5 9 5 
5 11 5 5 5 
5 11 5 5 9 
5 11 5 5 11 
5 11 5 5 11 
5 11 5 5 9 
5 11 5 11 5 
5 11 5 11 5 
5 11 5 9 5 
5 11 11 5 5 
5 11 11 5 5 
5 11 9 5 5 
5 11 5 9 5 
5 11 5 5 9 
5 11 5 5 11 
5 11 5 5 11 
5 11 5 5 9 
5 11 5 11 5 
5 11 5 11 5 
5 11 5 9 5 
5 11 5 5 5 
5 9 5 9 5 
5 9 5 5 9 
5 9 5 5 11 
5 9 5 5 11 
5 9 5 5 9 
5 9 5 11 5 
5 9 5 11 5 
5 5 11 9 5 
5 5 11 5 9 
5 5 11 5 11 
5 5 11 5 11 
5 5 11 5 9 
5 5 11 5 5 
5 5 9 5 9 
5 5 9 5 11 
5 5 9 5 11 
5 5 11 11 5 
5 5 11 11 5 
5 5 5 12 5 
5 5 5 16 5 
5 5 5 13 5 
5 5 5 17 5 
5 5 5 16 5 
5 5 5 12 5 
5 5 5 11 5 
5 5 5 11 9 
5 5 5 11 11 
5 5 5 11 11 
5 5 5 11 9 
5 5 5 11 11 
5 5 5 11 11 
5 5 5 9 9 
5 5 5 9 11 
5 5 5 9 11 
5 5 5 5 11 
5 5 5 16 5 
5 5 5 13 5 
5 5 5 19 5 
5 5 5 17 5 
5 5 5 17 5 
5 5 5 17 5 
5 5 5 19 5 
5 5 5 17 5 
5 5 5 19 5 
5 5 5 19 5 
5 5 5 16 5 
5 5 5 17 5 
5 5 17 5 5 
5 5 16 5 5 
5 5 12 5 5 
5 5 19 5 5 
5 5 19 5 5 
5 5 16 5 5 
5 5 17 5 5 
5 5 19 5 5 
5 5 17 5 5 
5 5 17 5 5 
5 5 17 5 5 
5 5 13 5 5 
5 5 17 5 5 
5 5 19 5 5 
5 5 16 5 5 
5 5 13 5 5 
5 5 16 5 5 
5 5 12 5 5 
5 5 11 9 5 
5 5 11 5 9 
5 5 11 5 11 
5 5 11 5 11 
5 5 11 5 9 
5 5 11 11 5 
5 5 11 11 5 
5 5 9 9 5 
5 5 9 5 9 
5 5 9 5 11 
5 5 9 5 11 
5 5 9 5 9 
5 5 9 11 5 
5 5 9 11 5 
5 5 5 11 5 
9 11 5 5 5 
9 11 5 5 5 
9 9 5 5 5 
9 5 11 5 5 
9 5 9 5 5 
9 5 5 11 5 
9 5 5 11 5 
9 5 5 9 5 
9 5 11 5 5 
9 5 9 5 5 
11 11 5 5 5 
11 11 5 5 5 
11 9 5 5 5 
11 5 11 5 5 
11 5 9 5 5 
11 5 5 5 5 
11 5 5 9 5 
11 5 5 9 5 
11 5 5 11 5 
11 5 5 11 5 
11 5 5 9 5 
11 5 5 11 5 
11 5 11 5 5 
11 5 11 5 5 
11 5 9 5 5 
11 11 5 5 5 
11 11 5 5 5 
11 9 5 5 5 
11 5 11 5 5 
11 5 9 5 5 
11 5 5 9 5 
11 5 5 9 5 
11 5 5 11 5 
11 5 5 11 5 
11 5 5 9 5 
11 5 5 11 5 
11 5 11 5 5 
11 5 11 5 5 
11 5 9 5 5 
11 5 5 5 5 
9 5 11 5 5 
9 5 9 5 5 
9 5 5 9 5 
9 5 5 9 5 
9 5 5 11 5 
9 5 5 11 5 
9 5 5 9 5 
9 5 5 11 5 
9 5 11 5 5 
9 5 11 5 5 
5 11 11 5 5 
5 11 9 5 5 
5 11 5 9 5 
5 11 5 9 5 
5 11 5 11 5 
5 11 5 11 5 
5 11 5 9 5 
5 11 5 11 5 
5 11 11 5 5 
5 11 11 5 5 
5 11 9 5 5 
5 11 5 9 5 
5 11 5 9 5 
5 11 5 11 5 
5 11 5 11 5 
5 11 5 9 5 
5 11 5 5 5 
5 11 5 11 5 
5 11 11 5 5 
5 9 5 9 5 
5 9 5 9 5 
5 9 5 11 5 
5 9 5 11 5 
5 9 5 11 5 
5 9 11 5 5 
5 11 11 5 5 
5 11 11 5 5 
5 5 11 9 5 
5 5 11 5 11 
5 5 11 5 11 
5 5 11 5 9 
5 5 11 5 5 
5 5 17 5 5 
5 5 19 5 5 
5 5 17 5 5 
5 5 17 5 5 
5 5 17 5 5 
5 5 13 5 5 
5 5 16 5 5 
5 5 19 5 5 
5 5 17 5 5 
5 5 19 5 5 
5 5 19 5 5 
5 5 16 5 5 
5 5 12 5 5 
5 5 16 5 5 
5 5 13 5 5 
5 5 17 5 5 
5 5 16 5 5 
5 5 12 5 5 
5 5 11 5 5 
5 5 11 9 5 
5 5 11 9 5 
5 5 11 11 5 
5 5 11 11 5 
5 5 11 11 5 
5 5 11 9 5 
5 5 11 9 5 
5 5 11 11 5 
5 5 11 11 5 
5 5 11 11 5 
5 5 9 9 5 
5 5 9 9 5 
5 5 9 11 5 
5 5 9 11 5 
5 5 9 11 5 
5 5 5 11 5 
5 5 11 9 5 
5 5 11 5 11 
5 5 11 5 11 
5 5 11 5 9 
5 5 11 11 5 
5 5 11 11 5 
5 5 11 9 5 
5 5 16 5 5 
5 5 19 5 5 
5 5 19 5 5 
5 5 17 5 5 
5 5 19 5 5 
5 5 16 5 5 
5 5 13 5 5 
5 5 17 5 5 
5 5 17 5 5 
5 5 17 5 5 
5 5 19 5 5 
5 5 17 5 5 
5 9 11 5 5 
5 9 11 5 5 
5 9 9 5 5 
5 9 5 9 5 
5 9 5 5 11 
5 9 5 5 11 
5 9 5 5 9 
5 9 5 11 5 
5 9 5 11 5 
5 9 5 9 5 
5 12 5 5 5 
5 16 5 5 5 
5 17 5 5 5 
5 13 5 5 5 
5 16 5 5 5 
5 12 5 5 5 
5 9 11 5 5 
5 9 9 5 5 
5 9 5 9 5 
5 9 5 9 5 
5 9 5 11 5 
5 9 5 11 5 
5 9 5 9 5 
5 9 5 11 5 
5 9 11 5 5 
5 9 11 5 5 
5 5 11 5 5 
5 5 11 5 5 
5 5 11 5 5 
5 5 5 5 11 
