0 0
1 1
2 1
3 2
4 2
5 1
6 2
7 2
8 1
9 2
10 2
11 2
12 1
13 2
14 2
15 2
16 2
17 2
18 2
23 2
28 2
33 2
34 2
35 2
36 2
37 2
38 2
42 2
46 2
52 1
53 2
54 1
55 2
56 2
57 2
58 2
60 2
63 2
64 2
65 2
69 2
78 2
79 2
81 2
84 2
93 2
94 2
95 2
97 2
98 2
99 2
105 2
106 2
108 2
111 2
112 2
114 2
115 2
126 2
127 2
129 2
137 2
138 2
143 2
152 2
154 2
161 2
162 2
184 2
185 2
189 2
198 2
268 2
271 2
274 2
421 2
423 2
434 2
446 2
631 2
634 2
639 2
640 2
642 2
644 2
646 2
650 2
651 2
653 2
657 2
659 2
690 2
692 2
747 2
1026 1
1027 2
1028 2
1033 2
1617 2
