0 0
1 1
2 1
3 2
4 2
5 2
6 2
7 1
8 2
9 2
10 2
11 1
12 2
13 2
14 2
15 2
16 2
17 3
18 3
19 3
20 3
21 2
22 3
23 3
24 3
25 3
26 2
27 3
28 3
29 3
30 3
31 2
32 2
33 3
34 3
35 3
36 2
37 3
38 3
39 3
40 3
41 3
42 3
43 3
44 3
45 2
46 3
47 2
48 3
49 3
50 2
51 2
52 3
53 3
54 3
55 3
56 3
57 3
58 3
59 3
60 3
61 3
62 3
63 3
64 3
65 3
66 3
67 3
68 3
69 2
70 3
71 3
72 3
73 3
74 3
75 3
76 3
77 3
78 3
79 3
80 3
81 3
82 3
83 3
84 3
85 4
86 4
87 4
88 4
89 4
90 4
91 4
92 4
93 4
94 4
95 4
96 4
97 4
98 4
99 4
100 4
101 4
102 4
103 4
104 4
105 3
106 4
107 4
108 4
109 4
110 4
111 4
112 4
113 4
114 4
115 4
116 4
117 4
118 4
119 4
120 4
121 4
122 4
123 4
124 4
125 4
126 4
127 4
128 4
129 4
130 4
131 4
132 4
133 4
134 4
