6 0 3
25 12 0
25 12 4
25 13 12
27 25 7
27 25 10
27 25 17
28 25 10
28 25 11
28 25 12
31 25 7
31 25 17
32 24 2
32 25 7
32 25 17
39 25 9
39 25 20
40 28 25
40 29 25
41 28 25
41 29 25
42 22 2
42 23 2
42 24 2
42 25 2
42 25 7
42 25 17
43 32 5
43 32 7
43 34 5
43 34 6
43 34 7
43 34 8
43 37 4
43 42 1
43 42 5
44 19 4
44 32 7
44 34 7
44 34 8
44 35 2
44 35 7
44 35 8
44 39 4
44 39 5
44 39 6
44 40 0
44 40 1
44 40 4
44 40 5
44 41 1
44 41 5
45 32 5
45 32 7
45 32 14
45 32 17
45 38 27
45 40 28
45 40 29
45 41 29
45 42 1
45 42 5
45 42 14
45 42 29
47 25 10
47 25 11
47 25 12
47 40 25
47 41 25
47 42 25
48 41 0
48 41 1
48 42 0
48 42 1
49 12 0
49 42 0
49 42 1
49 44 4
50 12 0
50 27 0
50 27 1
50 27 2
50 31 0
50 31 1
50 31 2
50 42 0
50 42 1
50 44 0
50 44 4
51 26 25
52 26 25
52 47 32
52 49 26
52 49 27
52 50 26
52 50 27
53 32 7
53 32 8
53 32 17
53 32 18
53 38 26
53 39 13
53 39 14
53 39 15
53 40 13
53 40 14
53 40 15
53 40 16
53 41 14
53 41 15
53 41 16
53 50 26
53 50 27
54 32 8
54 32 18
54 38 26
54 39 6
54 39 15
54 40 6
54 40 15
54 40 16
54 40 26
54 40 27
54 40 28
54 40 29
54 41 1
54 41 5
54 41 6
54 41 14
54 41 15
54 41 16
54 41 29
54 50 26
54 50 27
55 26 25
56 44 39
56 47 32
56 48 32
56 48 39
56 48 40
56 48 41
56 48 42
56 49 27
56 49 31
56 49 32
56 49 42
56 54 39
56 54 40
57 44 39
57 47 43
57 47 44
58 44 39
58 47 16
58 47 19
58 47 21
58 47 25
58 47 32
58 47 34
58 47 35
58 47 37
58 47 38
58 48 41
58 48 42
58 49 27
58 49 28
58 49 31
58 49 33
58 49 42
58 49 47
58 50 28
58 50 33
58 50 47
60 9 0
60 12 0
60 20 0
60 42 2
60 52 26
60 52 30
60 52 39
60 52 40
60 52 41
60 52 47
60 53 40
60 53 41
60 54 41
60 56 47
60 58 47
61 44 7
61 52 47
61 53 7
61 53 8
61 53 17
61 53 18
61 54 8
61 54 18
61 56 47
61 56 48
61 58 47
62 9 1
62 9 2
62 9 3
62 9 5
62 9 7
62 10 9
62 12 1
